skills,interests,strengths,weaknesses,personality_work_type,personality_work_style,personality_env_pref,personality_stress_handling,learning_formats,learning_pace,mode_preference,preferred_work_environment,salary_expectation,target_recommended_career
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Web Development"", ""Startups & Entrepreneurship""]","[""Patience"", ""Conflict Resolution"", ""Self-Management"", ""Programming"", ""Quick Learning"", ""Open-Mindedness"", ""Innovation""]","[""Impatience"", ""Stress Management"", ""Disorganization""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Interactive quizzes"", ""Text / Articles""]",Relaxed / self-paced,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Office Workspace"", ""Collaborative""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Wireframing"", ""Networking""]","[""AI"", ""Data Science"", ""Research""]","[""Coding"", ""Presentation Skills"", ""Strategic Planning"", ""Technical Ability"", ""Programming"", ""Multi-tasking"", ""Collaboration""]","[""Underestimating Tasks"", ""Disorganization""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""One-on-one tutoring"", ""Workshops""]",Relaxed / self-paced,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",6–10 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""Startups & Entrepreneurship"", ""Product Management""]","[""Conflict Resolution"", ""Communication"", ""Work Ethics"", ""Programming""]","[""Overcommitting"", ""Lack of Assertiveness"", ""Perfectionism""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Text / Articles"", ""Project-based"", ""Bootcamps"", ""Video lectures""]",Relaxed / self-paced,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Fully Remote""]",20+ LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Networking"", ""Prototyping"", ""UI/UX Design""]","[""AI"", ""Data Science"", ""Research"", ""Education & Teaching""]","[""Confidence"", ""Creativity"", ""Innovation"", ""Emotional Intelligence"", ""Conflict Resolution"", ""Multi-tasking""]","[""Taking on Too Much Work""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Peer learning / Study groups""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Fully Remote"", ""Leadership-heavy""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""Business Analysis""]","[""AI"", ""Data Science"", ""Research""]","[""Motivation"", ""Work Ethics"", ""Collaboration"", ""Patience"", ""Active Listening"", ""Open-Mindedness"", ""Resourcefulness""]","[""Inconsistent Focus"", ""Impatience"", ""Overcommitting"", ""Emotional Overreaction""]",Individual contributor,Analytical / data-driven,Remote-friendly,Calm under pressure,"[""Project-based"", ""Interactive quizzes"", ""Peer learning / Study groups""]",Moderate schedule,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Creative / Open""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""TypeScript"", ""JavaScript""]","[""AI"", ""Data Science"", ""Research"", ""Social Impact"", ""Product Design""]","[""Work Ethics"", ""Patience"", ""Innovation"", ""Resilience"", ""Discipline""]","[""Emotional Overreaction"", ""Avoiding Conflict"", ""Overthinking""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Text / Articles"", ""Project-based"", ""Hands-on labs"", ""Interactive quizzes""]",Intensive / bootcamp,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Creative / Open"", ""Structured / Process-driven""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""PostgreSQL"", ""MongoDB""]","[""AI"", ""Data Science"", ""Research"", ""IoT"", ""Education & Teaching""]","[""Teamwork"", ""Active Listening"", ""Critical Thinking"", ""Open-Mindedness"", ""Time Management"", ""Self-Management"", ""Work Ethics""]","[""Disorganization""]",Individual contributor,Analytical / data-driven,Office-based,Calm under pressure,"[""Interactive quizzes"", ""One-on-one tutoring"", ""Text / Articles"", ""Bootcamps""]",Moderate schedule,Offline (classroom),"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Structured / Process-driven"", ""Office Workspace""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL""]","[""AI"", ""Data Science"", ""Research"", ""DevOps"", ""IoT""]","[""Open-Mindedness"", ""Self-Management"", ""Confidence"", ""Quick Learning"", ""Organizational Skills""]","[""Slow Decision Making"", ""Taking on Too Much Work""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Text / Articles"", ""One-on-one tutoring"", ""Workshops"", ""Video lectures""]",Relaxed / self-paced,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",10–20 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""AWS"", ""PyTorch"", ""React Native""]","[""AI"", ""Data Science"", ""Research"", ""Finance & Markets"", ""Product Management""]","[""Creativity"", ""Goal Orientation"", ""Multi-tasking"", ""Communication"", ""Strategic Planning"", ""Quick Learning"", ""Adaptability""]","[""Avoiding Conflict"", ""Detail Overload""]",Individual contributor,Analytical / data-driven,Dynamic environment,Calm under pressure,"[""Video lectures"", ""Webinars"", ""Workshops"", ""Project-based""]",Moderate schedule,Hybrid (both),"[""Quiet & Focused"", ""Flexible / Hybrid""]",3–6 LPA,Data Scientist
"[""Python"", ""Machine Learning"", ""Data Analysis"", ""Statistics"", ""Pandas"", ""NumPy"", ""SQL"", ""iOS Development"", ""Android Development""]","[""AI"", ""Data Science"", ""Research"", ""Mobile Development""]","[""Communication"", ""Work Ethics"", ""Leadership"", ""Motivation"", ""Teamwork""]","[""Underestimating Tasks"", ""Self-Doubt"", ""Difficulty Delegating""]",Individual contributor,Analytical / data-driven,Low-noise environment,Calm under pressure,"[""Project-based"", ""Interactive quizzes"", ""Workshops"", ""Video lectures""]",Intensive / bootcamp,Online only,"[""Quiet & Focused"", ""Flexible / Hybrid"", ""Collaborative""]",Below 3 LPA,Data Scientist
